Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
123,Wednesday Aug 24,boxscore,TBR,,LAA,W-wo,4,3,11,68-55,2,7.5,Chargois,Barria,,3:40,N,9763,1.10,+++++,
124,Thursday Aug 25,boxscore,TBR,,LAA,W,8,3,,69-55,2,7.5,Rasmussen,Sandoval,,3:00,D,10733,1.03,++++++,
125,Friday Aug 26,boxscore,TBR,@,BOS,L,8,9,,69-56,2,8.5,Wacha,Yarbrough,Whitlock,3:30,N,30095,.98,-,
126,Saturday Aug 27,boxscore,TBR,@,BOS,L,1,5,,69-57,2,8.5,Hill,Springs,Schreiber,2:24,D,34036,.99,--,
127,Sunday Aug 28,boxscore,TBR,@,BOS,W,12,4,,70-57,2,7.5,Kluber,Pivetta,,3:14,D,29116,1.09,+,
128,Tuesday Aug 30,boxscore,TBR,@,MIA,W,7,2,,71-57,2,7.0,Chargois,Luzardo,,3:12,N,7386,1.12,++,
129,Wednesday Aug 31,boxscore,TBR,@,MIA,W,2,1,10,72-57,2,6.0,Adam,Nance,Beeks,3:07,N,7420,1.00,+++,
130,Friday Sep 2,boxscore,TBR,,NYY,W,9,0,,73-57,2,5.0,Springs,Germán,,3:24,N,17886,1.32,++++,
131,Saturday Sep 3,boxscore,TBR,,NYY,W,2,1,,74-57,2,4.0,Kluber,Schmidt,Adam,2:39,N,21754,1.53,+++++,
132,Sunday Sep 4,boxscore,TBR,,NYY,L,1,2,,74-58,2,5.0,Montas,Armstrong,Holmes,3:37,D,25025,1.65,-,
133,Monday Sep 5,boxscore,TBR,,BOS,W,4,3,,75-58,2,5.0,Faucher,Familia,Fairbanks,3:00,D,12264,1.16,+,
134,Tuesday Sep 6,boxscore,TBR,,BOS,W,8,4,,76-58,2,4.5,Cleavinger,Hill,,2:37,N,8069,.97,++,
135,Wednesday Sep 7,boxscore,TBR,,BOS,W,1,0,,77-58,2,5.0,Chirinos,Pivetta,Fairbanks,2:51,N,8696,.97,+++,
136,Friday Sep 9,boxscore,TBR,@,NYY,W,4,2,,78-58,2,3.5,Rasmussen,Montas,Armstrong,3:32,N,46160,1.33,++++,
137,Saturday Sep 10,boxscore,TBR,@,NYY,L,3,10,,78-59,2,4.5,Taillon,Kluber,,2:47,D,43088,1.51,-,
138,Sunday Sep 11,boxscore,TBR,@,NYY,L,4,10,,78-60,2,5.5,Peralta,Patiño,,3:11,D,36402,1.22,--,
139,Monday Sep 12,boxscore,TBR,@,TOR,L,2,3,,78-61,3,6.0,Mayza,Adam,Romano,2:39,N,23002,.77,---,
140,Tuesday Sep 13 (1),boxscore,TBR,@,TOR,W,4,2,,79-61,3,6.5,Springs,Merryweather,Fairbanks,2:59,D,23497,.82,+,
141,Tuesday Sep 13 (2),boxscore,TBR,@,TOR,L,2,7,,79-62,3,6.5,Bass,Poche,,3:03,N,25103,.81,-,
142,Wednesday Sep 14,boxscore,TBR,@,TOR,L,1,5,,79-63,3,7.5,Stripling,Rasmussen,,2:35,N,24282,.84,--,
143,Thursday Sep 15,boxscore,TBR,@,TOR,W,11,0,,80-63,3,7.0,McClanahan,Gausman,,3:06,D,23820,.89,+,
144,Friday Sep 16,boxscore,TBR,,TEX,L,3,4,,80-64,3,7.0,Pérez,Kluber,Leclerc,3:12,N,14127,.67,-,
145,Saturday Sep 17,boxscore,TBR,,TEX,W,5,1,,81-64,3,6.0,Yarbrough,Gray,,3:00,N,14094,.65,+,
146,Sunday Sep 18,boxscore,TBR,,TEX,W,5,3,,82-64,3,6.0,Springs,Otto,Fairbanks,2:58,D,12835,.60,++,
147,Monday Sep 19,boxscore,TBR,,HOU,L,0,4,,82-65,3,6.5,Garcia,Rasmussen,,2:45,N,10390,.56,-,
148,Tuesday Sep 20,boxscore,TBR,,HOU,L,0,5,,82-66,3,7.5,Javier,McClanahan,Pressly,3:10,N,8992,.54,--,
149,Wednesday Sep 21,boxscore,TBR,,HOU,L,2,5,,82-67,3,8.5,McCullers,Raley,Pressly,2:47,N,9293,.50,---,
150,Thursday Sep 22,boxscore,TBR,,TOR,W,10,5,,83-67,3,8.5,Yarbrough,Berríos,,3:30,N,8799,.74,+,
151,Friday Sep 23,boxscore,TBR,,TOR,W,10,6,,84-67,2,8.5,Guerra,Garcia,,3:21,N,17407,.74,++,
152,Saturday Sep 24,boxscore,TBR,,TOR,L,1,3,,84-68,3,9.5,Manoah,Rasmussen,Romano,3:18,N,22169,.85,-,
153,Sunday Sep 25,boxscore,TBR,,TOR,L,1,7,,84-69,3,10.5,Stripling,McClanahan,,3:04,D,16394,.71,--,
154,Tuesday Sep 27,boxscore,TBR,@,CLE,W,6,5,11,85-69,3,10.0,Guerra,Stephan,Faucher,4:06,N,10775,.40,+,
155,Wednesday Sep 28,boxscore,TBR,@,CLE,L-wo,1,2,10,85-70,3,11.0,Karinchak,Guerra,,3:19,N,10674,.44,-,
156,Thursday Sep 29,boxscore,TBR,@,CLE,L,1,2,,85-71,3,11.5,De Los Santos,Armstrong,Stephan,2:43,N,11783,.42,--,
157,Friday Sep 30,boxscore,TBR,@,HOU,W,7,3,,86-71,3,10.5,Rasmussen,Valdez,,2:54,N,37349,.33,+,
158,Saturday Oct 1,boxscore,TBR,@,HOU,L,1,2,,86-72,3,11.5,Javier,McClanahan,Pressly,2:44,N,37406,.30,-,
159,Sunday Oct 2,boxscore,TBR,@,HOU,L,1,3,,86-73,3,11.5,Garcia,Kluber,Montero,2:56,D,35809,.14,--,
160,Monday Oct 3,boxscore,TBR,@,BOS,L,3,4,,86-74,3,12.5,Schreiber,Herget,Barnes,2:35,N,26633,-.01,---,
161,Tuesday Oct 4,boxscore,TBR,@,BOS,L,0,6,5,86-75,3,13.0,Eovaldi,Springs,,1:44,N,26477,.05,----,
162,Wednesday Oct 5,boxscore,TBR,@,BOS,L,3,6,,86-76,3,13.0,Bazardo,Fleming,Barnes,3:21,D,26695,.01,-----,
