Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
150,Thursday Sep 22,boxscore,ATL,@,PHI,L,0,1,,93-57,2,1.5,Suárez,Fried,Alvarado,3:08,N,21276,1.20,--,
151,Friday Sep 23,boxscore,ATL,@,PHI,L,1,9,,93-58,2,2.5,Nola,Odorizzi,,3:20,N,28013,1.13,---,
152,Saturday Sep 24,boxscore,ATL,@,PHI,W,6,3,,94-58,2,1.5,Wright,Falter,Jansen,3:22,D,36692,.78,+,
153,Sunday Sep 25,boxscore,ATL,@,PHI,W,8,7,11,95-58,2,1.5,Stephens,Bellatti,,4:09,D,32090,1.09,++,
154,Monday Sep 26,boxscore,ATL,@,WSN,W,8,0,,96-58,2,1.0,Elder,Abbott,,2:24,N,24684,1.10,+++,
155,Tuesday Sep 27,boxscore,ATL,@,WSN,W,8,2,,97-58,1,Tied,McHugh,Espino,,2:47,N,23281,1.29,++++,
156,Wednesday Sep 28,boxscore,ATL,@,WSN,L-wo,2,3,10,97-59,2,1.0,Finnegan,Stephens,,3:13,N,24876,1.74,-,
157,Friday Sep 30,boxscore,ATL,,NYM,W,5,2,,98-59,1,Tied,Fried,deGrom,Jansen,2:54,N,42402,2.56,+,
158,Saturday Oct 1,boxscore,ATL,,NYM,W,4,2,,99-59,1,up 1.0,Wright,Scherzer,Jansen,2:54,N,42561,3.62,++,
159,Sunday Oct 2,boxscore,ATL,,NYM,W,5,3,,100-59,1,up 2.0,Lee,Bassitt,Jansen,3:21,N,42713,4.11,+++,
160,Monday Oct 3,boxscore,ATL,@,MIA,L,0,4,,100-60,1,up 1.5,Luzardo,Elder,,2:29,N,10767,.47,-,
161,Tuesday Oct 4,boxscore,ATL,@,MIA,W,2,1,,101-60,1,up 1.0,Odorizzi,Garrett,Jansen,3:09,N,14138,.83,+,
162,Wednesday Oct 5,boxscore,ATL,@,MIA,L,9,12,,101-61,1,Tied,Nardi,Chavez,Floro,3:40,D,12195,.00,-,
