Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
139,Monday Sep 12,boxscore,CIN,,PIT,L,3,6,,56-83,4,26.0,Wilson,Minor,Crowe,2:54,N,12083,.00,---,
140,Tuesday Sep 13 (1),boxscore,CIN,,PIT,L,1,6,,56-84,4,26.5,Oviedo,Cessa,,2:56,D,9338,.00,----,
141,Tuesday Sep 13 (2),boxscore,CIN,,PIT,L,0,1,,56-85,4,26.5,De Jong,Espinal,Underwood,2:32,N,13156,.00,-----,
142,Wednesday Sep 14,boxscore,CIN,,PIT,L,4,10,,56-86,4,27.5,Beede,Lodolo,Yajure,3:05,D,11449,.00,------,
143,Thursday Sep 15,boxscore,CIN,@,STL,W,3,2,,57-86,4,26.5,Anderson,Mikolas,Díaz,2:45,N,44901,.00,+,
144,Friday Sep 16,boxscore,CIN,@,STL,L,5,6,,57-87,4,27.5,Stratton,Gibaut,Helsley,3:17,N,47118,.00,-,
145,Saturday Sep 17 (1),boxscore,CIN,@,STL,L,1,5,,57-88,4,29.5,Hudson,Minor,,2:45,D,46678,.00,--,
146,Saturday Sep 17 (2),boxscore,CIN,@,STL,L-wo,0,1,11,57-89,4,29.5,Matz,Cruz,,3:11,N,48299,.00,---,
147,Sunday Sep 18,boxscore,CIN,@,STL,W,3,0,,58-89,4,28.5,Cessa,Montgomery,Farmer,2:50,D,47909,.00,+,
148,Tuesday Sep 20,boxscore,CIN,,BOS,L,3,5,,58-90,4,28.5,Bello,Lodolo,Schreiber,3:27,N,16698,.00,-,
149,Wednesday Sep 21,boxscore,CIN,,BOS,W,5,1,,59-90,4,27.5,Anderson,Seabold,Díaz,2:37,N,13074,.00,+,
150,Thursday Sep 22,boxscore,CIN,,MIL,L,1,5,,59-91,4,28.5,Woodruff,Greene,,2:50,N,9889,.00,-,
151,Friday Sep 23,boxscore,CIN,,MIL,L,3,5,,59-92,4,29.5,Perdomo,Cessa,Williams,3:22,N,16658,.00,--,
152,Saturday Sep 24,boxscore,CIN,,MIL,L,2,10,,59-93,4,29.5,Burnes,Ashcraft,,2:57,N,20472,.00,---,
153,Sunday Sep 25,boxscore,CIN,,MIL,W,2,1,,60-93,4,28.5,Farmer,Bush,Díaz,2:46,D,19952,.00,+,
154,Monday Sep 26,boxscore,CIN,@,PIT,L,3,8,,60-94,4,29.0,Ramirez,Law,,3:05,N,8766,.00,-,
155,Tuesday Sep 27,boxscore,CIN,@,PIT,L,1,4,,60-95,4,30.0,Crowe,Farmer,Bednar,3:01,N,8723,.00,--,
156,Wednesday Sep 28,boxscore,CIN,@,PIT,L-wo,3,4,10,60-96,4,30.0,Ramirez,Díaz,,2:37,D,9127,.00,---,
157,Friday Sep 30,boxscore,CIN,@,CHC,L,1,6,,60-97,4,31.0,Sampson,Ashcraft,,2:29,D,24297,.00,----,
158,Saturday Oct 1,boxscore,CIN,@,CHC,L,1,2,,60-98,4,32.0,Miley,Law,Hughes,2:32,D,31256,.00,-----,
159,Sunday Oct 2,boxscore,CIN,@,CHC,L,1,8,,60-99,4,32.0,Stroman,Anderson,,2:53,D,30029,.00,------,
160,Monday Oct 3,boxscore,CIN,,CHC,W,3,1,,61-99,4,31.0,Greene,Wesneski,Díaz,2:31,N,11291,.00,+,
161,Tuesday Oct 4,boxscore,CIN,,CHC,W-wo,3,2,,62-99,4,31.0,Díaz,Hughes,,2:52,N,13738,.00,++,
162,Wednesday Oct 5,boxscore,CIN,,CHC,L,2,15,,62-100,4,31.0,Alzolay,Ashcraft,,3:20,D,12437,.00,-,
